2024-12-07 20:45:12 | INFO | Saving logs to outputs/crossConcatLpdUnet2D_1/20241207_2045_logs.log...
2024-12-07 20:45:13 | INFO | Cross_Concat_LPD_Unet2D model loaded successfully!
2024-12-07 20:45:13 | INFO | crossConcatLpdUnet2D_1 - number of parameters: 22,792,048
2024-12-07 20:54:22 | DEBUG | 3/200 - batch 40/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:25 | DEBUG | 3/200 - batch 41/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:27 | DEBUG | 3/200 - batch 42/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:30 | DEBUG | 3/200 - batch 43/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:33 | DEBUG | 3/200 - batch 44/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:36 | DEBUG | 3/200 - batch 45/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:38 | DEBUG | 3/200 - batch 46/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:41 | DEBUG | 3/200 - batch 47/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:44 | DEBUG | 3/200 - batch 48/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:46 | DEBUG | 3/200 - batch 49/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:49 | DEBUG | 3/200 - batch 50/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:52 | DEBUG | 3/200 - batch 51/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:55 | DEBUG | 3/200 - batch 52/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:58 | DEBUG | 3/200 - batch 53/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:00 | DEBUG | 3/200 - batch 54/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:03 | DEBUG | 3/200 - batch 55/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:06 | DEBUG | 3/200 - batch 56/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:09 | DEBUG | 3/200 - batch 57/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:11 | DEBUG | 3/200 - batch 58/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:14 | DEBUG | 3/200 - batch 59/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:17 | DEBUG | 3/200 - batch 60/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:20 | DEBUG | 3/200 - batch 61/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:22 | DEBUG | 3/200 - batch 62/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:25 | DEBUG | 3/200 - batch 63/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:28 | DEBUG | 3/200 - batch 64/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:31 | DEBUG | 3/200 - batch 65/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:33 | DEBUG | 3/200 - batch 66/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:36 | DEBUG | 3/200 - batch 67/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:39 | DEBUG | 3/200 - batch 68/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:42 | DEBUG | 3/200 - batch 69/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:44 | DEBUG | 3/200 - batch 70/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:47 | DEBUG | 3/200 - batch 71/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:50 | DEBUG | 3/200 - batch 72/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:53 | DEBUG | 3/200 - batch 73/84 | VRAM: 43.70/47.53GB
2024-12-07 20:55:56 | DEBUG | 3/200 - batch 74/84 | VRAM: 43.70/47.53GB
