2024-12-07 16:32:24 | INFO | Saving logs to outputs/crossImageLpdUnet2D_1/20241207_1632_logs.log...
2024-12-07 16:32:25 | INFO | Cross_Image_LPD_Unet2D model loaded successfully!
2024-12-07 16:32:25 | INFO | crossImageLpdUnet2D_1 - number of parameters: 12,946,314
2024-12-07 16:36:07 | DEBUG | 2/200 - batch 49/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:09 | DEBUG | 2/200 - batch 50/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:10 | DEBUG | 2/200 - batch 51/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:12 | DEBUG | 2/200 - batch 52/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:14 | DEBUG | 2/200 - batch 53/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:15 | DEBUG | 2/200 - batch 54/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:17 | DEBUG | 2/200 - batch 55/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:19 | DEBUG | 2/200 - batch 56/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:21 | DEBUG | 2/200 - batch 57/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:22 | DEBUG | 2/200 - batch 58/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:24 | DEBUG | 2/200 - batch 59/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:25 | DEBUG | 2/200 - batch 60/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:27 | DEBUG | 2/200 - batch 61/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:29 | DEBUG | 2/200 - batch 62/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:31 | DEBUG | 2/200 - batch 63/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:32 | DEBUG | 2/200 - batch 64/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:34 | DEBUG | 2/200 - batch 65/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:36 | DEBUG | 2/200 - batch 66/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:37 | DEBUG | 2/200 - batch 67/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:39 | DEBUG | 2/200 - batch 68/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:40 | DEBUG | 2/200 - batch 69/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:42 | DEBUG | 2/200 - batch 70/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:44 | DEBUG | 2/200 - batch 71/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:45 | DEBUG | 2/200 - batch 72/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:47 | DEBUG | 2/200 - batch 73/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:49 | DEBUG | 2/200 - batch 74/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:51 | DEBUG | 2/200 - batch 75/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:52 | DEBUG | 2/200 - batch 76/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:54 | DEBUG | 2/200 - batch 77/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:55 | DEBUG | 2/200 - batch 78/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:57 | DEBUG | 2/200 - batch 79/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:59 | DEBUG | 2/200 - batch 80/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:01 | DEBUG | 2/200 - batch 81/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:02 | DEBUG | 2/200 - batch 82/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:04 | DEBUG | 2/200 - batch 83/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:05 | DEBUG | 2/200 - batch 84/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:06 | INFO | 2/200 - loss 8.73e-01; PSNR 19.915; SSIM 0.236
2024-12-07 16:37:06 | DEBUG | 3/200 - batch 1/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:08 | DEBUG | 3/200 - batch 2/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:09 | DEBUG | 3/200 - batch 3/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:11 | DEBUG | 3/200 - batch 4/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:13 | DEBUG | 3/200 - batch 5/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:14 | DEBUG | 3/200 - batch 6/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:16 | DEBUG | 3/200 - batch 7/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:18 | DEBUG | 3/200 - batch 8/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:19 | DEBUG | 3/200 - batch 9/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:21 | DEBUG | 3/200 - batch 10/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:22 | DEBUG | 3/200 - batch 11/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:24 | DEBUG | 3/200 - batch 12/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:26 | DEBUG | 3/200 - batch 13/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:27 | DEBUG | 3/200 - batch 14/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:29 | DEBUG | 3/200 - batch 15/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:31 | DEBUG | 3/200 - batch 16/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:32 | DEBUG | 3/200 - batch 17/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:34 | DEBUG | 3/200 - batch 18/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:35 | DEBUG | 3/200 - batch 19/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:37 | DEBUG | 3/200 - batch 20/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:39 | DEBUG | 3/200 - batch 21/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:41 | DEBUG | 3/200 - batch 22/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:42 | DEBUG | 3/200 - batch 23/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:44 | DEBUG | 3/200 - batch 24/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:45 | DEBUG | 3/200 - batch 25/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:47 | DEBUG | 3/200 - batch 26/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:49 | DEBUG | 3/200 - batch 27/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:50 | DEBUG | 3/200 - batch 28/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:52 | DEBUG | 3/200 - batch 29/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:54 | DEBUG | 3/200 - batch 30/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:55 | DEBUG | 3/200 - batch 31/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:57 | DEBUG | 3/200 - batch 32/84 | VRAM: 26.33/47.53GB
2024-12-07 16:37:58 | DEBUG | 3/200 - batch 33/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:00 | DEBUG | 3/200 - batch 34/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:02 | DEBUG | 3/200 - batch 35/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:03 | DEBUG | 3/200 - batch 36/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:05 | DEBUG | 3/200 - batch 37/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:07 | DEBUG | 3/200 - batch 38/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:08 | DEBUG | 3/200 - batch 39/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:10 | DEBUG | 3/200 - batch 40/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:11 | DEBUG | 3/200 - batch 41/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:13 | DEBUG | 3/200 - batch 42/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:15 | DEBUG | 3/200 - batch 43/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:16 | DEBUG | 3/200 - batch 44/84 | VRAM: 26.33/47.53GB
