2024-12-09 13:14:30 | INFO | Saving logs to outputs/crossUpdateLpdUnet2D_1/20241209_1314_logs.log...
2024-12-09 13:14:32 | INFO | Cross_Update_LPD_Unet2D model loaded successfully!
2024-12-09 13:14:33 | INFO | crossUpdateLpdUnet2D_1 - number of parameters: 22,543,894
2024-12-09 13:18:41 | DEBUG | 2/200 - batch 25/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:43 | DEBUG | 2/200 - batch 26/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:45 | DEBUG | 2/200 - batch 27/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:47 | DEBUG | 2/200 - batch 28/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:50 | DEBUG | 2/200 - batch 29/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:52 | DEBUG | 2/200 - batch 30/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:54 | DEBUG | 2/200 - batch 31/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:56 | DEBUG | 2/200 - batch 32/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:59 | DEBUG | 2/200 - batch 33/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:01 | DEBUG | 2/200 - batch 34/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:03 | DEBUG | 2/200 - batch 35/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:05 | DEBUG | 2/200 - batch 36/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:07 | DEBUG | 2/200 - batch 37/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:10 | DEBUG | 2/200 - batch 38/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:12 | DEBUG | 2/200 - batch 39/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:14 | DEBUG | 2/200 - batch 40/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:16 | DEBUG | 2/200 - batch 41/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:19 | DEBUG | 2/200 - batch 42/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:21 | DEBUG | 2/200 - batch 43/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:23 | DEBUG | 2/200 - batch 44/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:25 | DEBUG | 2/200 - batch 45/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:28 | DEBUG | 2/200 - batch 46/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:30 | DEBUG | 2/200 - batch 47/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:32 | DEBUG | 2/200 - batch 48/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:34 | DEBUG | 2/200 - batch 49/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:37 | DEBUG | 2/200 - batch 50/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:39 | DEBUG | 2/200 - batch 51/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:41 | DEBUG | 2/200 - batch 52/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:43 | DEBUG | 2/200 - batch 53/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:46 | DEBUG | 2/200 - batch 54/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:48 | DEBUG | 2/200 - batch 55/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:50 | DEBUG | 2/200 - batch 56/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:52 | DEBUG | 2/200 - batch 57/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:55 | DEBUG | 2/200 - batch 58/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:57 | DEBUG | 2/200 - batch 59/84 | VRAM: 36.54/47.53GB
2024-12-09 13:19:59 | DEBUG | 2/200 - batch 60/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:01 | DEBUG | 2/200 - batch 61/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:04 | DEBUG | 2/200 - batch 62/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:06 | DEBUG | 2/200 - batch 63/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:08 | DEBUG | 2/200 - batch 64/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:10 | DEBUG | 2/200 - batch 65/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:12 | DEBUG | 2/200 - batch 66/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:15 | DEBUG | 2/200 - batch 67/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:17 | DEBUG | 2/200 - batch 68/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:19 | DEBUG | 2/200 - batch 69/84 | VRAM: 36.54/47.53GB
