2024-11-24 20:35:39 | DEBUG | 2/200 - batch 18/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:41 | DEBUG | 2/200 - batch 19/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:42 | DEBUG | 2/200 - batch 20/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:44 | DEBUG | 2/200 - batch 21/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:46 | DEBUG | 2/200 - batch 22/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:47 | DEBUG | 2/200 - batch 23/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:49 | DEBUG | 2/200 - batch 24/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:51 | DEBUG | 2/200 - batch 25/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:53 | DEBUG | 2/200 - batch 26/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:55 | DEBUG | 2/200 - batch 27/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:56 | DEBUG | 2/200 - batch 28/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:58 | DEBUG | 2/200 - batch 29/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:00 | DEBUG | 2/200 - batch 30/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:02 | DEBUG | 2/200 - batch 31/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:04 | DEBUG | 2/200 - batch 32/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:05 | DEBUG | 2/200 - batch 33/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:07 | DEBUG | 2/200 - batch 34/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:08 | DEBUG | 2/200 - batch 35/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:10 | DEBUG | 2/200 - batch 36/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:12 | DEBUG | 2/200 - batch 37/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:14 | DEBUG | 2/200 - batch 38/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:16 | DEBUG | 2/200 - batch 39/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:18 | DEBUG | 2/200 - batch 40/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:19 | DEBUG | 2/200 - batch 41/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:21 | DEBUG | 2/200 - batch 42/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:23 | DEBUG | 2/200 - batch 43/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:25 | DEBUG | 2/200 - batch 44/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:26 | DEBUG | 2/200 - batch 45/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:28 | DEBUG | 2/200 - batch 46/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:30 | DEBUG | 2/200 - batch 47/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:32 | DEBUG | 2/200 - batch 48/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:34 | DEBUG | 2/200 - batch 49/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:36 | DEBUG | 2/200 - batch 50/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:38 | DEBUG | 2/200 - batch 51/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:40 | DEBUG | 2/200 - batch 52/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:42 | DEBUG | 2/200 - batch 53/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:44 | DEBUG | 2/200 - batch 54/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:46 | DEBUG | 2/200 - batch 55/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:48 | DEBUG | 2/200 - batch 56/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:49 | DEBUG | 2/200 - batch 57/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:51 | DEBUG | 2/200 - batch 58/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:53 | DEBUG | 2/200 - batch 59/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:55 | DEBUG | 2/200 - batch 60/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:57 | DEBUG | 2/200 - batch 61/84 | VRAM: 28.08/47.53GB
2024-11-24 20:36:59 | DEBUG | 2/200 - batch 62/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:01 | DEBUG | 2/200 - batch 63/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:03 | DEBUG | 2/200 - batch 64/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:05 | DEBUG | 2/200 - batch 65/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:07 | DEBUG | 2/200 - batch 66/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:09 | DEBUG | 2/200 - batch 67/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:11 | DEBUG | 2/200 - batch 68/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:13 | DEBUG | 2/200 - batch 69/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:15 | DEBUG | 2/200 - batch 70/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:17 | DEBUG | 2/200 - batch 71/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:20 | DEBUG | 2/200 - batch 72/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:22 | DEBUG | 2/200 - batch 73/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:24 | DEBUG | 2/200 - batch 74/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:25 | DEBUG | 2/200 - batch 75/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:28 | DEBUG | 2/200 - batch 76/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:29 | DEBUG | 2/200 - batch 77/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:31 | DEBUG | 2/200 - batch 78/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:33 | DEBUG | 2/200 - batch 79/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:35 | DEBUG | 2/200 - batch 80/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:37 | DEBUG | 2/200 - batch 81/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:39 | DEBUG | 2/200 - batch 82/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:41 | DEBUG | 2/200 - batch 83/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:42 | DEBUG | 2/200 - batch 84/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:43 | INFO | 2/200 - loss 8.14e-01; PSNR 20.576; SSIM 0.503
2024-11-24 20:37:44 | DEBUG | 3/200 - batch 1/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:46 | DEBUG | 3/200 - batch 2/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:47 | DEBUG | 3/200 - batch 3/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:49 | DEBUG | 3/200 - batch 4/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:51 | DEBUG | 3/200 - batch 5/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:53 | DEBUG | 3/200 - batch 6/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:55 | DEBUG | 3/200 - batch 7/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:56 | DEBUG | 3/200 - batch 8/84 | VRAM: 28.08/47.53GB
2024-11-24 20:37:58 | DEBUG | 3/200 - batch 9/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:00 | DEBUG | 3/200 - batch 10/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:02 | DEBUG | 3/200 - batch 11/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:04 | DEBUG | 3/200 - batch 12/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:06 | DEBUG | 3/200 - batch 13/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:08 | DEBUG | 3/200 - batch 14/84 | VRAM: 28.08/47.53GB
